name,lat,lon,open,close,income,id
Tatte Bakery and Caf_,42.362206,-71.0813,7,8,1,97
Sebastian's,42.362785,-71.08841,7,6,1,127
Champion's Sports Bar,42.362755,-71.085594,7,12,1,128
Bailey and Sage,42.36279,-71.086586,7,5,1,128
Au Bon Pain,42.362175,-71.08506,7,9,1,254
The Black Sheep,42.362343,-71.08722,7,10,1,132
Clover Food Truck,42.36115,-71.08625,7,12,1,136
Anna's Taqueria,42.360992,-71.067154,7,11,1,235
American Dry Cleaners,42.361008,-71.06504,7,7,1,239
Whole Foods,42.362022,-71.06543,7,10,1,240
Clink,42.361755,-71.07023,7,10,1,249
Au Bon Pain,42.36132,-71.0667,7,9,1,254
