name,lat,lon,open,close,income,id
Antonio's Cucina Italiana,42.360992,-71.06821,11,10,1,2
Chipotle,42.36254,-71.08556,11,10,1,5
Evoo Restaurant,42.363422,-71.08316,11,10,1,6
Kika Tapas,42.363403,-71.082985,11,10,1,11
Ma Maison,42.360996,-71.06795,11,10,1,14
The Similans,42.36636,-71.07806,11,10,1,18
Griddler's Burgers and Dogs,42.36101,-71.06589,10,10,1,21
Jerusalem Cafe,42.361332,-71.08623,10,10,1,22
Clink,42.361755,-71.07023,7,10,1,97
The Black Sheep,42.362343,-71.08722,7,10,1,101
Whole Foods,42.362022,-71.06543,7,10,1,102
Starbucks,42.363033,-71.08566,6,10,1,108
